"Info";"Date";"Time";"TimeStamp";"0,2 - CP_output_pwm";"0,2 - CP_rpms";"0,2 - CP_pressure"
"";"2020-11-30";"13:57:07.316";"27319";"10000";"3375";"2132592"
"";"2020-11-30";"13:57:07.417";"27420";"10000";"3367";"2205294"
"";"2020-11-30";"13:57:07.518";"27521";"10000";"3373";"2197216"
"";"2020-11-30";"13:57:07.619";"27622";"10000";"3360";"2172982"
"";"2020-11-30";"13:57:07.720";"27723";"10000";"3375";"2140670"
"";"2020-11-30";"13:57:07.821";"27824";"10000";"3372";"2181060"
"";"2020-11-30";"13:57:07.923";"27926";"10000";"3372";"2124514"
"";"2020-11-30";"13:57:08.023";"28026";"10000";"3379";"2189138"
"";"2020-11-30";"13:57:08.125";"28128";"10000";"3386";"2067968"
"";"2020-11-30";"13:57:08.226";"28229";"10000";"3373";"2164904"
"";"2020-11-30";"13:57:08.327";"28330";"10000";"3372";"2164904"
"";"2020-11-30";"13:57:08.428";"28431";"10000";"3379";"2156826"
"";"2020-11-30";"13:57:08.528";"28531";"10000";"3371";"2221450"
"";"2020-11-30";"13:57:08.629";"28632";"10000";"3374";"2237606"
"";"2020-11-30";"13:57:08.730";"28733";"10000";"3372";"2277996"
"";"2020-11-30";"13:57:08.831";"28834";"10000";"3364";"2318386"
"";"2020-11-30";"13:57:08.933";"28936";"10000";"3375";"2277996"
"";"2020-11-30";"13:57:09.034";"29037";"10000";"3371";"2415322"
"";"2020-11-30";"13:57:09.135";"29138";"10000";"3368";"2391088"
"";"2020-11-30";"13:57:09.235";"29238";"10000";"3382";"2383010"
"";"2020-11-30";"13:57:09.335";"29338";"10000";"3369";"2366854"
"";"2020-11-30";"13:57:09.437";"29440";"10000";"3375";"2374932"
"";"2020-11-30";"13:57:09.538";"29541";"10000";"3374";"2342620"
"";"2020-11-30";"13:57:09.637";"29640";"10000";"3365";"2366854"
"";"2020-11-30";"13:57:09.738";"29741";"10000";"3360";"2520336"
"";"2020-11-30";"13:57:09.839";"29842";"10000";"3354";"2528414"
"";"2020-11-30";"13:57:09.941";"29944";"10000";"3360";"2528414"
"";"2020-11-30";"13:57:10.042";"30045";"10000";"3357";"2649584"
